id,created_at,title,content,thumbnail,profile_image,profile_name,published,tags,updated_at,author_id,folder,folder_id
05633cd1-d596-402e-a5b2-b169eaac6607,2025-01-18 16:11:37.574459+00,Kalinas Perles - Collier ajustable,"{""mediaItems"":[{""id"":""video-1737216651599-0"",""type"":""video"",""url"":""https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/stories/1737216690680-p.mp4"",""file"":null,""thumbnailUrl"":""https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/thumbnails/1737216697076-p.jpg""},{""id"":""image-1737239087647-0"",""type"":""image"",""url"":""https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/stories/1737239088222-video-capture-0.00seg-4232.png"",""file"":null,""thumbnailUrl"":""https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/stories/1737239088222-video-capture-0.00seg-4232.png""}]}",https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/thumbnails/1737216688964-video-capture-0.00seg-4232.png,https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/profile/1737216659025-430396616_1408169980093169_1542764989124909581_n.jpg,Collier ajustable,false,[],2025-01-18 22:24:49.799016+00,d6aef709-6e15-4b21-a77d-0aec95d06298,,bf286c5e-c8f9-47ff-b1bd-edc74b495e70
45546f6c-09ea-49f5-94e0-9bfc5391f3ac,2025-01-18 16:21:47.878668+00,Jean Marc Joubert - Niwel Beauty,"{""mediaItems"":[{""id"":""video-1737217167662-0"",""type"":""video"",""url"":""https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/stories/1737217305433-niwel.mp4"",""file"":null,""thumbnailUrl"":""https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/thumbnails/1737217307327-niwel.jpg""}]}",https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/thumbnails/1737217304986-video-capture-2.22seg-6862.png,https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/profile/1737217263466-126817745_1089770984808056_4251676250137390534_n.jpg,Niwel Beauty,false,[],2025-01-18 16:22:08.319706+00,d6aef709-6e15-4b21-a77d-0aec95d06298,,d6f215cf-0beb-4342-88fe-e55f2be1ea34
a5b59e27-4195-478b-a58e-b98d46333c15,2025-01-18 16:09:24.376178+00,Kalinas Perles - Bracelet Ajustable,"{""mediaItems"":[{""id"":""video-1737216216481-0"",""type"":""video"",""url"":""https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/stories/1737216560174-k.mp4"",""file"":null,""thumbnailUrl"":""https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/thumbnails/1737216563876-k.jpg""}]}",https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/thumbnails/1737216558342-video-capture-0.00seg-1949.png,https://moayozcwypbsmnnbtkdv.supabase.co/storage/v1/object/public/media/d6aef709-6e15-4b21-a77d-0aec95d06298/profile/1737216417756-430396616_1408169980093169_1542764989124909581_n.jpg,Bracelet Ajustable,false,[],2025-01-18 16:12:25.523717+00,d6aef709-6e15-4b21-a77d-0aec95d06298,,bf286c5e-c8f9-47ff-b1bd-edc74b495e70
